STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ANDHRA PRADESH,RAPE,1150,1340,1237,1443,1415,1360,1436,1531,1487,1761,1758,1664
ARUNACHAL PRADESH,RAPE,51,61,35,56,38,40,57,37,60,49,47,47
ASSAM,RAPE,928,1019,1188,1233,1406,1290,1477,1445,1644,1629,1470,1626
BIHAR,RAPE,1400,1304,1120,1157,1455,1451,1816,1464,1086,892,1185,1327
CHHATTISGARH,RAPE,1134,1214,1020,1144,1107,1211,1146,1108,1128,1198,1257,1214
GOA,RAPE,14,12,36,48,34,20,25,41,56,50,34,61
GUJARAT,RAPE,401,378,356,481,501,539,503,529,610,617,621,647
HARYANA,RAPE,539,511,523,573,627,772,607,849,848,866,801,940
HIMACHAL PRADESH,RAPE,152,204,146,187,176,131,197,182,250,197,187,259
JAMMU & KASHMIR,RAPE,222,203,266,271,248,301,331,234,303,266,349,388
JHARKHAND,RAPE,637,873,759,759,732,943,886,802,765,836,758,780
KARNATAKA,RAPE,361,357,410,397,381,475,518,642,595,771,837,842
KERALA,RAPE,712,600,517,562,506,666,555,623,694,659,1226,1259
MADHYA PRADESH,RAPE,3212,3926,3694,4181,3900,3878,4131,3875,4243,4387,4593,4822
MAHARASHTRA,RAPE,1886,1871,1856,1914,2227,2162,2097,2206,2075,2180,2533,2591
MANIPUR,RAPE,17,18,19,29,12,20,12,19,22,22,24,46
MEGHALAYA,RAPE,29,45,50,57,65,71,76,82,110,135,128,182
MIZORAM,RAPE,64,83,70,15,36,77,87,94,81,112,74,122
NAGALAND,RAPE,28,20,14,20,19,29,15,27,27,17,27,26
ODISHA,RAPE,887,820,839,906,838,1020,1026,1045,1119,1363,1224,1666
PUNJAB,RAPE,459,538,574,563,553,618,709,663,681,766,598,895
RAJASTHAN,RAPE,1147,937,928,995,1110,1085,1201,1211,1388,1343,1642,1807
SIKKIM,RAPE,6,2,7,3,8,17,30,24,19,21,25,29
TAMIL NADU,RAPE,565,695,661,681,744,573,615,740,776,777,837,962
TRIPURA,RAPE,139,141,135,190,157,167,165,210,336,320,258,202
UTTAR PRADESH,RAPE,2685,2050,1211,1942,1683,1770,2283,2825,2918,2580,3571,3593
UTTARAKHAND,RAPE,82,142,154,226,225,233,171,108,138,171,149,184
WEST BENGAL,RAPE,1027,1279,1497,1661,2085,2045,2409,1790,1748,2395,1870,1963
TOTAL (STATES),RAPE,19934,20643,19322,21694,22288,22964,24581,24406,25207,26380,28083,30144
A & N ISLANDS,RAPE,3,6,6,11,8,7,3,13,36,39,28,17
CHANDIGARH,RAPE,32,28,32,27,43,27,24,27,38,44,27,34
D & N HAVELI,RAPE,10,3,1,12,6,5,5,8,5,3,4,5
DAMAN & DIU,RAPE,0,0,6,2,1,2,4,0,1,1,0,10
DELHI,RAPE,454,546,624,737,856,778,731,573,557,602,707,892
LAKSHADWEEP,RAPE,0,2,2,0,0,0,1,1,0,0,0,0
PUDUCHERRY,RAPE,13,8,1,6,10,9,14,8,1,5,29,15
TOTAL (UTs),RAPE,512,593,672,795,924,828,782,630,638,694,795,973
TOTAL (ALL-INDIA),RAPE,20446,21236,19994,22489,23212,23792,25363,25036,25845,27074,28878,31117
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION,965,962,878,1105,1230,1326,1674,1606,1889,1722,1698,1764
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION,60,57,50,34,28,51,51,57,38,48,67,49
ASSAM,KIDNAPPING AND ABDUCTION,1583,1967,1894,2083,2250,1848,1721,1965,2392,2687,2838,2689
BIHAR,KIDNAPPING AND ABDUCTION,988,1154,877,1606,1518,1961,2085,2382,2397,2503,3565,4639
CHHATTISGARH,KIDNAPPING AND ABDUCTION,223,178,135,225,223,177,196,229,267,352,372,441
GOA,KIDNAPPING AND ABDUCTION,8,9,12,14,18,12,8,28,18,15,16,12
GUJARAT,KIDNAPPING AND ABDUCTION,1063,1007,945,1171,1147,1142,1356,1320,1494,1651,1888,1939
HARYANA,KIDNAPPING AND ABDUCTION,298,328,354,315,274,395,490,594,530,543,548,660
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION,74,96,76,73,115,77,106,144,102,101,134,131
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION,633,563,696,672,741,862,959,523,696,509,894,884
JHARKHAND,KIDNAPPING AND ABDUCTION,318,152,336,336,207,378,549,604,397,710,901,1000
KARNATAKA,KIDNAPPING AND ABDUCTION,306,336,242,278,270,357,373,487,506,751,703,1035
KERALA,KIDNAPPING AND ABDUCTION,114,92,104,135,179,219,194,179,202,221,230,253
MADHYA PRADESH,KIDNAPPING AND ABDUCTION,917,1126,918,986,1047,869,906,1013,1060,1303,1473,1648
MAHARASHTRA,KIDNAPPING AND ABDUCTION,1022,977,938,1125,1338,1324,1286,1487,1388,1470,1954,1775
MANIPUR,KIDNAPPING AND ABDUCTION,58,62,67,77,68,49,59,68,95,83,94,101
MEGHALAYA,KIDNAPPING AND ABDUCTION,9,21,4,16,16,27,12,14,17,41,18,6
MIZORAM,KIDNAPPING AND ABDUCTION,5,3,3,0,0,1,0,1,0,0,0,3
NAGALAND,KIDNAPPING AND ABDUCTION,9,4,6,2,6,5,12,5,8,13,3,7
ODISHA,KIDNAPPING AND ABDUCTION,555,534,531,477,530,558,681,633,814,1070,1107,1347
PUNJAB,KIDNAPPING AND ABDUCTION,369,348,253,266,361,471,592,573,566,646,589,731
RAJASTHAN,KIDNAPPING AND ABDUCTION,1261,1103,921,1245,926,1011,942,942,1138,1281,1461,1565
SIKKIM,KIDNAPPING AND ABDUCTION,0,2,0,4,3,0,3,8,7,13,6,8
TAMIL NADU,KIDNAPPING AND ABDUCTION,808,847,856,985,911,1052,1107,1405,1312,1532,1778,1557
TRIPURA,KIDNAPPING AND ABDUCTION,43,60,68,83,69,61,81,112,125,106,113,120
UTTAR PRADESH,KIDNAPPING AND ABDUCTION,4295,3829,2374,3709,3593,4270,5683,8280,10487,11903,19299,20565
UTTARAKHAND,KIDNAPPING AND ABDUCTION,153,244,217,202,223,314,363,203,191,293,295,242
WEST BENGAL,KIDNAPPING AND ABDUCTION,1331,1781,1571,1620,1565,1660,1742,1857,1958,2254,2748,3352
TOTAL (STATES),KIDNAPPING AND ABDUCTION,17468,17842,15326,18844,18856,20477,23231,26719,30094,33821,44792,48523
A & N ISLANDS,KIDNAPPING AND ABDUCTION,4,1,1,2,0,10,6,10,5,11,14,7
CHANDIGARH,KIDNAPPING AND ABDUCTION,43,37,22,61,39,50,45,42,29,23,33,48
D & N HAVELI,KIDNAPPING AND ABDUCTION,3,6,6,6,6,7,7,16,12,7,3,11
DAMAN & DIU,KIDNAPPING AND ABDUCTION,2,0,1,0,4,1,3,0,0,0,8,0
DELHI,KIDNAPPING AND ABDUCTION,298,325,274,331,419,402,352,412,375,366,503,478
LAKSHADWEEP,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION,1,10,13,6,2,20,14,8,11,22,10,16
TOTAL (UTs),KIDNAPPING AND ABDUCTION,351,379,317,406,470,490,427,489,432,429,571,560
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION,17819,18221,15643,19250,19326,20967,23658,27208,30526,34250,45363,49083
ANDHRA PRADESH,DOWRY DEATHS,1054,1058,1361,1102,1280,1274,1562,1585,1220,1322,1400,1267
ARUNACHAL PRADESH,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,2
ASSAM,DOWRY DEATHS,95,127,113,161,174,201,172,159,297,263,146,215
BIHAR,DOWRY DEATHS,2899,2538,2488,2317,2323,2674,3265,2605,2908,2508,3900,3994
CHHATTISGARH,DOWRY DEATHS,163,217,224,220,296,273,247,254,353,277,287,211
GOA,DOWRY DEATHS,4,2,2,8,2,0,8,2,3,5,2,0
GUJARAT,DOWRY DEATHS,238,174,147,122,136,150,121,79,53,28,62,38
HARYANA,DOWRY DEATHS,734,635,528,563,481,533,572,622,633,589,457,481
HIMACHAL PRADESH,DOWRY DEATHS,15,13,15,25,6,12,31,8,3,4,8,4
JAMMU & KASHMIR,DOWRY DEATHS,40,27,20,24,26,12,21,25,46,26,12,23
JHARKHAND,DOWRY DEATHS,557,632,578,578,503,557,559,570,562,567,536,444
KARNATAKA,DOWRY DEATHS,422,571,487,553,578,587,582,698,666,621,642,539
KERALA,DOWRY DEATHS,55,44,59,53,31,39,40,35,32,34,25,38
MADHYA PRADESH,DOWRY DEATHS,1503,1822,1812,2257,1992,2203,2127,2302,2474,2564,2144,2142
MAHARASHTRA,DOWRY DEATHS,1009,1222,1459,1235,1379,1348,1349,1464,1233,1438,1261,1141
MANIPUR,DOWRY DEATHS,0,0,0,0,0,0,0,1,0,0,5,0
MEGHALAYA,DOWRY DEATHS,0,0,0,3,1,0,4,2,0,0,3,4
MIZORAM,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DOWRY DEATHS,603,602,686,932,708,969,958,733,857,988,858,903
PUNJAB,DOWRY DEATHS,450,495,288,345,246,331,316,286,323,288,364,274
RAJASTHAN,DOWRY DEATHS,722,582,582,680,560,665,683,643,553,616,673,631
SIKKIM,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,2,0,9
TAMIL NADU,DOWRY DEATHS,2266,572,484,514,492,457,503,488,430,313,336,278
TRIPURA,DOWRY DEATHS,94,13,41,28,43,25,42,31,60,62,57,87
UTTAR PRADESH,DOWRY DEATHS,6305,5673,3792,4836,4523,5280,7310,8541,9203,9250,9795,9884
UTTARAKHAND,DOWRY DEATHS,161,187,234,267,160,227,244,168,218,168,233,147
WEST BENGAL,DOWRY DEATHS,725,784,914,976,956,1058,1068,1082,1002,1124,1118,1345
TOTAL (STATES),DOWRY DEATHS,20114,17990,16314,17799,16896,18875,21784,22383,23129,23057,24324,24101
A & N ISLANDS,DOWRY DEATHS,0,0,0,0,0,0,2,3,0,0,0,3
CHANDIGARH,DOWRY DEATHS,7,0,4,13,6,30,3,7,3,10,3,14
D & N HAVELI,DOWRY DEATHS,0,0,0,0,0,1,0,0,0,0,0,0
DAMAN & DIU,DOWRY DEATHS,0,0,0,0,0,1,3,0,0,0,0,0
DELHI,DOWRY DEATHS,256,345,318,298,267,320,313,230,242,209,246,300
LAKSHADWEEP,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DOWRY DEATHS,4,11,0,9,4,7,8,1,0,4,5,0
TOTAL (UTs),DOWRY DEATHS,267,356,322,320,277,359,329,241,245,223,254,317
TOTAL (ALL-INDIA),DOWRY DEATHS,20381,18346,16636,18119,17173,19234,22113,22624,23374,23280,24578,24418
ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3639,4055,4577,4259,4003,4431,4893,4922,5441,4622,4554,4834
ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,95,80,66,68,51,40,72,73,70,88,69,77
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1161,1372,1660,1322,1288,1716,1466,1307,1614,2020,1794,2250
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,982,997,965,1058,715,720,1360,1165,795,808,1036,278
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2106,1728,1755,1972,1734,1880,1831,1934,1817,1969,1948,1891
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15,24,15,24,42,25,24,28,35,37,28,42
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1033,1015,970,1132,1064,957,1227,1291,1025,986,1051,1118
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,567,603,475,491,506,653,572,533,553,605,534,698
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,431,419,335,347,357,391,404,358,345,418,373,317
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1034,1377,1966,1857,1563,2015,2306,1748,2044,2053,2759,2814
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,384,433,425,425,299,445,402,302,327,273,340,355
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2401,2366,2266,1925,2066,2445,2456,2927,3159,3411,3381,3982
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2317,2568,2328,2825,2842,2951,2959,3452,3238,3585,4257,4167
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8196,8760,8326,8022,7762,7235,8053,7686,7567,7863,7904,8085
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3385,3260,3147,3355,3865,4246,3864,4334,3938,4386,4704,4885
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,12,41,54,26,27,29,47,47,40,23,24,34
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,13,14,25,17,21,50,24,18,42,29,58,45
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,55,96,60,43,60,64,76,78,79,63,82
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,3,2,7,4,10,22,13,15,12,16
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2278,2316,2440,2468,3318,3565,3713,3765,3589,4116,4541,6060
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,462,425,439,337,361,422,472,512,355,454,402,413
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3282,2967,2816,3150,2885,2975,2753,2893,2692,2598,2740,2658
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,17,21,58,28,16,11,18,36,23,17,17
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2283,2847,2615,2767,2515,1667,1945,2220,1916,1946,2092,2091
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,62,95,157,189,156,162,197,349,434,456,455,375
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3960,2944,1518,2592,2600,2785,3485,4109,4026,4189,5252,5143
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,150,234,196,222,149,204,306,160,178,184,153,199
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1163,1377,2021,1714,2027,2004,1712,1584,1640,1841,2243,2879
TOTAL (STATES),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,41469,42390,41677,42684,42294,44093,46628,47833,47007,49077,52784,55805
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,12,13,14,19,32,32,40,40,15,20
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,33,39,19,24,36,28,39,22,39,28,24,54
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,2,7,8,10,5,0,7,2,12,2,2
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,0,1,5,0,1,5,2,0,0
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,650,634,647,756,968,887,1143,855,710,794,865,939
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,1,0,0,0,0,0
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,66,78,78,94,101,79,160,85,53,71,77,7
TOTAL (UTs),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,775,771,767,895,1130,1023,1375,1002,849,947,983,1022
TOTAL (ALL-INDIA),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,42244,43161,42444,43579,43424,45116,48003,48835,47856,50024,53767,56827
ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN,2268,2433,3066,2528,2963,2816,3614,3240,4178,3820,4122,4348
ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,3,4,0,0,0,2,5,1,2,1,0,0
ASSAM,INSULT TO THE MODESTY OF WOMEN,11,7,6,19,9,10,16,2,15,35,26,12
BIHAR,INSULT TO THE MODESTY OF WOMEN,37,16,20,18,27,55,19,30,16,22,9,39
CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN,194,177,155,155,173,179,129,165,235,261,250,193
GOA,INSULT TO THE MODESTY OF WOMEN,8,8,6,17,9,6,6,12,10,22,16,17
GUJARAT,INSULT TO THE MODESTY OF WOMEN,147,142,111,251,125,143,179,161,188,131,168,117
HARYANA,INSULT TO THE MODESTY OF WOMEN,480,1612,1347,959,755,584,576,731,717,635,564,558
HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,18,16,18,17,34,34,12,55,40,73,56,91
JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN,367,458,471,319,442,469,465,401,512,295,458,447
JHARKHAND,INSULT TO THE MODESTY OF WOMEN,46,3,29,29,88,33,23,63,38,20,16,51
KARNATAKA,INSULT TO THE MODESTY OF WOMEN,71,83,57,63,53,42,44,38,40,22,44,147
KERALA,INSULT TO THE MODESTY OF WOMEN,127,113,222,148,198,230,281,302,456,604,598,538
MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN,1123,1110,907,1032,878,970,1104,958,1047,1182,850,1056
MAHARASHTRA,INSULT TO THE MODESTY OF WOMEN,1314,972,951,1092,1256,1195,1291,1352,1337,1515,1300,1548
MANIPUR,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,1,0,1,0
MEGHALAYA,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,0,2,1,0,0,0
MIZORAM,INSULT TO THE MODESTY OF WOMEN,0,1,0,0,6,0,0,0,1,0,0,1
NAGALAND,INSULT TO THE MODESTY OF WOMEN,0,0,5,0,0,2,1,0,0,3,0,0
ODISHA,INSULT TO THE MODESTY OF WOMEN,539,244,299,255,293,311,317,352,297,354,313,376
PUNJAB,INSULT TO THE MODESTY OF WOMEN,57,185,225,43,42,75,59,61,50,42,34,45
RAJASTHAN,INSULT TO THE MODESTY OF WOMEN,58,62,33,51,38,33,34,15,24,22,13,20
SIKKIM,INSULT TO THE MODESTY OF WOMEN,18,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,INSULT TO THE MODESTY OF WOMEN,1229,1857,884,1037,787,857,931,1245,568,739,490,470
TRIPURA,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,1,0,4,8,10,9,9,15
UTTAR PRADESH,INSULT TO THE MODESTY OF WOMEN,3961,2771,6126,4176,4469,3852,4149,4958,3878,15,3,14
UTTARAKHAND,INSULT TO THE MODESTY OF WOMEN,137,135,167,267,179,186,128,459,419,282,111,103
WEST BENGAL,INSULT TO THE MODESTY OF WOMEN,56,49,84,90,66,76,118,156,120,165,225,617
TOTAL (STATES),INSULT TO THE MODESTY OF WOMEN,12269,12458,15190,12566,12891,12160,13505,14767,14200,10269,9676,10823
A & N ISLANDS,INSULT TO THE MODESTY OF WOMEN,1,3,2,3,3,6,0,4,8,14,7,6
CHANDIGARH,INSULT TO THE MODESTY OF WOMEN,17,31,3,24,13,20,15,3,6,2,11,32
D & N HAVELI,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,1,0,0,0,2,1,0
DAMAN & DIU,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,1,0,0,0
DELHI,INSULT TO THE MODESTY OF WOMEN,107,171,113,137,255,163,181,141,132,89,165,231
LAKSHADWEEP,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,INSULT TO THE MODESTY OF WOMEN,45,35,43,41,30,70,52,28,21,28,20,17
TOTAL (UTs),INSULT TO THE MODESTY OF WOMEN,170,240,161,205,301,260,248,176,168,135,204,286
TOTAL (ALL-INDIA),INSULT TO THE MODESTY OF WOMEN,12439,12698,15351,12771,13192,12420,13753,14943,14368,10404,9880,11109
ANDHRA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),9725,12134,15784,15583,15409,15531,18016,19398,19018,21572,20719,21251
ARUNACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),9,5,9,4,12,8,18,12,12,11,16,26
ASSAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1515,2108,2473,3171,3439,3200,3818,3577,5753,6208,4894,5435
BIHAR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3838,4278,3940,4123,3151,3124,3973,3732,4939,3850,5134,6963
CHHATTISGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1439,1519,1528,2267,1923,1932,2195,2297,2462,2450,2200,2581
GOA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),36,11,55,45,14,34,47,23,46,41,21,54
GUJARAT,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),10192,9413,10818,12236,13272,14878,18050,18602,17595,16877,18141,19982
HARYANA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3134,3159,3044,3427,3303,3538,3880,3712,3661,4057,3533,3606
HIMACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),648,485,460,534,541,506,718,731,648,677,507,505
JAMMU & KASHMIR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),110,113,149,172,130,222,320,290,469,418,617,634
JHARKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),943,1125,1025,1025,965,1141,1193,1651,1560,1600,1346,2207
KARNATAKA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3413,3219,3419,2795,3334,3488,4182,4827,5784,6515,6801,6317
KERALA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),4288,5028,5004,5637,6287,6771,6626,6303,5828,7522,7305,6923
MADHYA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),7155,8497,8265,10310,8498,8416,9424,10196,11182,10253,10313,11104
MAHARASHTRA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),20940,20255,19932,20490,22959,24060,24745,25979,29493,28261,26325,27379
MANIPUR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),4,11,10,0,18,6,15,12,25,13,22,21
MEGHALAYA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),3,0,1,3,3,8,13,29,6,11,34,14
MIZORAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,3,2,0,0,0,1,5,4,3,7,7
NAGALAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,0,0,0,0,5,0,4,0,3,1,0
ODISHA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1972,2076,2215,2086,2671,2661,2089,2121,2915,4840,3739,4699
PUNJAB,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2746,2514,2177,1939,1544,1683,1911,1963,1871,2159,2229,2288
RAJASTHAN,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),7082,7312,7058,8116,6799,8277,8486,8027,9326,9113,9791,9949
SIKKIM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),0,3,1,1,3,4,8,5,12,4,4,6
TAMIL NADU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),1545,1797,2558,2540,2606,2392,3538,3351,2697,2981,2879,4019
TRIPURA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),252,249,477,493,882,857,618,1064,1760,1172,1776,1147
UTTAR PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),19827,17126,7089,14394,14154,14590,23465,27984,31807,29853,33465,36115
UTTARAKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),746,802,854,1454,698,989,1437,570,890,625,382,484
